province,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Beijing,0.012793955,0.01315502,0.01315502,0.01315502,0.01315502,0.010374363,0.010374363,0.010374363,0.010374363,0.010374363,0.007558221,0.007558221,0.007558221,0.007558221,0.007558221,0.008744792,0.008744792,0.008744792,0.008744792,0.008744792,0.0180826,0.0180826,0.0180826,0.0180826,0.0180826,0.020814621,0.020814621,0.020814621,0.020814621,0.020814621,0.020222645,0.020222645,0.020222645,0.020222645,0.020222645
Tianjin,0.006956886,0.008012661,0.008012661,0.008012661,0.008012661,0.007394591,0.007394591,0.007394591,0.007394591,0.007394591,0.006990458,0.006990458,0.006990458,0.006990458,0.006990458,0.008554453,0.008554453,0.008554453,0.008554453,0.008554453,0.011115942,0.011115942,0.011115942,0.011115942,0.011115942,0.010259858,0.010259858,0.010259858,0.010259858,0.010259858,0.011192276,0.011192276,0.011192276,0.011192276,0.011192276
Hebei,0.050883803,0.054617327,0.054617327,0.054617327,0.054617327,0.062152436,0.062152436,0.062152436,0.062152436,0.062152436,0.062450112,0.062450112,0.062450112,0.062450112,0.062450112,0.05552134,0.05552134,0.05552134,0.05552134,0.05552134,0.039377713,0.039377713,0.039377713,0.039377713,0.039377713,0.04524286,0.04524286,0.04524286,0.04524286,0.04524286,0.055642774,0.055642774,0.055642774,0.055642774,0.055642774
Shanxi,0.024104119,0.022810337,0.022810337,0.022810337,0.022810337,0.021677484,0.021677484,0.021677484,0.021677484,0.021677484,0.023245322,0.023245322,0.023245322,0.023245322,0.023245322,0.023894364,0.023894364,0.023894364,0.023894364,0.023894364,0.026196072,0.026196072,0.026196072,0.026196072,0.026196072,0.027976002,0.027976002,0.027976002,0.027976002,0.027976002,0.024159139,0.024159139,0.024159139,0.024159139,0.024159139
Inner Mongolia,0.014487837,0.013447288,0.013447288,0.013447288,0.013447288,0.013166708,0.013166708,0.013166708,0.013166708,0.013166708,0.013390689,0.013390689,0.013390689,0.013390689,0.013390689,0.01387539,0.01387539,0.01387539,0.01387539,0.01387539,0.014243016,0.014243016,0.014243016,0.014243016,0.014243016,0.015849625,0.015849625,0.015849625,0.015849625,0.015849625,0.016501543,0.016501543,0.016501543,0.016501543,0.016501543
Liaoning,0.01843576,0.018533341,0.018533341,0.018533341,0.018533341,0.018463126,0.018463126,0.018463126,0.018463126,0.018463126,0.019309423,0.019309423,0.019309423,0.019309423,0.019309423,0.02326514,0.02326514,0.02326514,0.02326514,0.02326514,0.024748288,0.024748288,0.024748288,0.024748288,0.024748288,0.024457001,0.024457001,0.024457001,0.024457001,0.024457001,0.02773487,0.02773487,0.02773487,0.02773487,0.02773487
Jilin,0.009753914,0.00994335,0.00994335,0.00994335,0.00994335,0.010678315,0.010678315,0.010678315,0.010678315,0.010678315,0.012818148,0.012818148,0.012818148,0.012818148,0.012818148,0.014588216,0.014588216,0.014588216,0.014588216,0.014588216,0.013626253,0.013626253,0.013626253,0.013626253,0.013626253,0.013766926,0.013766926,0.013766926,0.013766926,0.013766926,0.016032994,0.016032994,0.016032994,0.016032994,0.016032994
Heilongjiang,0.010026497,0.010799541,0.010799541,0.010799541,0.010799541,0.012097228,0.012097228,0.012097228,0.012097228,0.012097228,0.016121081,0.016121081,0.016121081,0.016121081,0.016121081,0.01916933,0.01916933,0.01916933,0.01916933,0.01916933,0.018844318,0.018844318,0.018844318,0.018844318,0.018844318,0.017319826,0.017319826,0.017319826,0.017319826,0.017319826,0.019750072,0.019750072,0.019750072,0.019750072,0.019750072
Shanghai,0.010443077,0.011164111,0.011164111,0.011164111,0.011164111,0.010163852,0.010163852,0.010163852,0.010163852,0.010163852,0.007822646,0.007822646,0.007822646,0.007822646,0.007822646,0.009802451,0.009802451,0.009802451,0.009802451,0.009802451,0.020273852,0.020273852,0.020273852,0.020273852,0.020273852,0.024105575,0.024105575,0.024105575,0.024105575,0.024105575,0.022147644,0.022147644,0.022147644,0.022147644,0.022147644
Jiangsu,0.047179395,0.049593582,0.049593582,0.049593582,0.049593582,0.052405471,0.052405471,0.052405471,0.052405471,0.052405471,0.051312331,0.051312331,0.051312331,0.051312331,0.051312331,0.048964468,0.048964468,0.048964468,0.048964468,0.048964468,0.053029366,0.053029366,0.053029366,0.053029366,0.053029366,0.061760355,0.061760355,0.061760355,0.061760355,0.061760355,0.065088595,0.065088595,0.065088595,0.065088595,0.065088595
Zhejiang,0.038458848,0.037969368,0.037969368,0.037969368,0.037969368,0.033637836,0.033637836,0.033637836,0.033637836,0.033637836,0.031834058,0.031834058,0.031834058,0.031834058,0.031834058,0.038773831,0.038773831,0.038773831,0.038773831,0.038773831,0.04939436,0.04939436,0.04939436,0.04939436,0.04939436,0.052918572,0.052918572,0.052918572,0.052918572,0.052918572,0.049595312,0.049595312,0.049595312,0.049595312,0.049595312
Anhui,0.048156973,0.046454076,0.046454076,0.046454076,0.046454076,0.046201367,0.046201367,0.046201367,0.046201367,0.046201367,0.046641561,0.046641561,0.046641561,0.046641561,0.046641561,0.044773626,0.044773626,0.044773626,0.044773626,0.044773626,0.039880945,0.039880945,0.039880945,0.039880945,0.039880945,0.0447568,0.0447568,0.0447568,0.0447568,0.0447568,0.039381557,0.039381557,0.039381557,0.039381557,0.039381557
Fujian,0.031915192,0.033033052,0.033033052,0.033033052,0.033033052,0.033291595,0.033291595,0.033291595,0.033291595,0.033291595,0.029206713,0.029206713,0.029206713,0.029206713,0.029206713,0.02777234,0.02777234,0.02777234,0.02777234,0.02777234,0.027306132,0.027306132,0.027306132,0.027306132,0.027306132,0.031294921,0.031294921,0.031294921,0.031294921,0.031294921,0.032332144,0.032332144,0.032332144,0.032332144,0.032332144
Jiangxi,0.035754216,0.034724808,0.034724808,0.034724808,0.034724808,0.038375011,0.038375011,0.038375011,0.038375011,0.038375011,0.044305587,0.044305587,0.044305587,0.044305587,0.044305587,0.042818406,0.042818406,0.042818406,0.042818406,0.042818406,0.034127272,0.034127272,0.034127272,0.034127272,0.034127272,0.027310951,0.027310951,0.027310951,0.027310951,0.027310951,0.026854844,0.026854844,0.026854844,0.026854844,0.026854844
Shandong,0.072695013,0.086141784,0.086141784,0.086141784,0.086141784,0.07171331,0.07171331,0.07171331,0.07171331,0.07171331,0.071677769,0.071677769,0.071677769,0.071677769,0.071677769,0.070328012,0.070328012,0.070328012,0.070328012,0.070328012,0.06155316,0.06155316,0.06155316,0.06155316,0.06155316,0.048931443,0.048931443,0.048931443,0.048931443,0.048931443,0.073808154,0.073808154,0.073808154,0.073808154,0.073808154
Henan,0.076735668,0.08073106,0.08073106,0.08073106,0.08073106,0.092978379,0.092978379,0.092978379,0.092978379,0.092978379,0.098988749,0.098988749,0.098988749,0.098988749,0.098988749,0.087284549,0.087284549,0.087284549,0.087284549,0.087284549,0.065524779,0.065524779,0.065524779,0.065524779,0.065524779,0.059765387,0.059765387,0.059765387,0.059765387,0.059765387,0.069289475,0.069289475,0.069289475,0.069289475,0.069289475
Hubei,0.03993912,0.038251048,0.038251048,0.038251048,0.038251048,0.037121607,0.037121607,0.037121607,0.037121607,0.037121607,0.036414432,0.036414432,0.036414432,0.036414432,0.036414432,0.035457223,0.035457223,0.035457223,0.035457223,0.035457223,0.034212042,0.034212042,0.034212042,0.034212042,0.034212042,0.04217343,0.04217343,0.04217343,0.04217343,0.04217343,0.041776244,0.041776244,0.041776244,0.041776244,0.041776244
Hunan,0.047372481,0.047767857,0.047767857,0.047767857,0.047767857,0.051695286,0.051695286,0.051695286,0.051695286,0.051695286,0.05435983,0.05435983,0.05435983,0.05435983,0.05435983,0.053039616,0.053039616,0.053039616,0.053039616,0.053039616,0.041220461,0.041220461,0.041220461,0.041220461,0.041220461,0.035204383,0.035204383,0.035204383,0.035204383,0.035204383,0.044016746,0.044016746,0.044016746,0.044016746,0.044016746
Guangdong,0.108123956,0.102097151,0.102097151,0.102097151,0.102097151,0.09521276,0.09521276,0.09521276,0.09521276,0.09521276,0.084665285,0.084665285,0.084665285,0.084665285,0.084665285,0.087443294,0.087443294,0.087443294,0.087443294,0.087443294,0.125855809,0.125855809,0.125855809,0.125855809,0.125855809,0.130065211,0.130065211,0.130065211,0.130065211,0.130065211,0.106513996,0.106513996,0.106513996,0.106513996,0.106513996
Guangxi,0.047528374,0.045958325,0.045958325,0.045958325,0.045958325,0.048211759,0.048211759,0.048211759,0.048211759,0.048211759,0.046159958,0.046159958,0.046159958,0.046159958,0.046159958,0.044050475,0.044050475,0.044050475,0.044050475,0.044050475,0.032994437,0.032994437,0.032994437,0.032994437,0.032994437,0.029650919,0.029650919,0.029650919,0.029650919,0.029650919,0.031226657,0.031226657,0.031226657,0.031226657,0.031226657
Hainan,0.008714432,0.007998265,0.007998265,0.007998265,0.007998265,0.007983802,0.007983802,0.007983802,0.007983802,0.007983802,0.00784531,0.00784531,0.00784531,0.00784531,0.00784531,0.007602315,0.007602315,0.007602315,0.007602315,0.007602315,0.007980206,0.007980206,0.007980206,0.007980206,0.007980206,0.00901094,0.00901094,0.00901094,0.00901094,0.00901094,0.007450363,0.007450363,0.007450363,0.007450363,0.007450363
Chongqing,0.020056344,0.019594067,0.019594067,0.019594067,0.019594067,0.018850911,0.018850911,0.018850911,0.018850911,0.018850911,0.02209331,0.02209331,0.02209331,0.02209331,0.02209331,0.024390488,0.024390488,0.024390488,0.024390488,0.024390488,0.025175294,0.025175294,0.025175294,0.025175294,0.025175294,0.023277476,0.023277476,0.023277476,0.023277476,0.023277476,0.019601527,0.019601527,0.019601527,0.019601527,0.019601527
Sichuan,0.053156274,0.052231837,0.052231837,0.052231837,0.052231837,0.051200271,0.051200271,0.051200271,0.051200271,0.051200271,0.056525459,0.056525459,0.056525459,0.056525459,0.056525459,0.059619373,0.059619373,0.059619373,0.059619373,0.059619373,0.063484976,0.063484976,0.063484976,0.063484976,0.063484976,0.058912176,0.058912176,0.058912176,0.058912176,0.058912176,0.051329923,0.051329923,0.051329923,0.051329923,0.051329923
Guizhou,0.044010267,0.037783542,0.037783542,0.037783542,0.037783542,0.035644637,0.035644637,0.035644637,0.035644637,0.035644637,0.035666863,0.035666863,0.035666863,0.035666863,0.035666863,0.035353703,0.035353703,0.035353703,0.035353703,0.035353703,0.034157211,0.034157211,0.034157211,0.034157211,0.034157211,0.027249491,0.027249491,0.027249491,0.027249491,0.027249491,0.022281259,0.022281259,0.022281259,0.022281259,0.022281259
Yunnan,0.043155661,0.038853058,0.038853058,0.038853058,0.038853058,0.034484396,0.034484396,0.034484396,0.034484396,0.034484396,0.036134875,0.036134875,0.036134875,0.036134875,0.036134875,0.041309689,0.041309689,0.041309689,0.041309689,0.041309689,0.041334433,0.041334433,0.041334433,0.041334433,0.041334433,0.034531693,0.034531693,0.034531693,0.034531693,0.034531693,0.030331927,0.030331927,0.030331927,0.030331927,0.030331927
Shaanxi,0.029569676,0.029025761,0.029025761,0.029025761,0.029025761,0.027515753,0.027515753,0.027515753,0.027515753,0.027515753,0.024940339,0.024940339,0.024940339,0.024940339,0.024940339,0.024649716,0.024649716,0.024649716,0.024649716,0.024649716,0.027204666,0.027204666,0.027204666,0.027204666,0.027204666,0.031822628,0.031822628,0.031822628,0.031822628,0.031822628,0.030632371,0.030632371,0.030632371,0.030632371,0.030632371
Gansu,0.022032023,0.020551032,0.020551032,0.020551032,0.020551032,0.018677596,0.018677596,0.018677596,0.018677596,0.018677596,0.018379108,0.018379108,0.018379108,0.018379108,0.018379108,0.018266648,0.018266648,0.018266648,0.018266648,0.018266648,0.017519637,0.017519637,0.017519637,0.017519637,0.017519637,0.018649579,0.018649579,0.018649579,0.018649579,0.018649579,0.016097653,0.016097653,0.016097653,0.016097653,0.016097653
Qinghai,0.005633763,0.004942532,0.004942532,0.004942532,0.004942532,0.004830927,0.004830927,0.004830927,0.004830927,0.004830927,0.004787267,0.004787267,0.004787267,0.004787267,0.004787267,0.004923172,0.004923172,0.004923172,0.004923172,0.004923172,0.004887838,0.004887838,0.004887838,0.004887838,0.004887838,0.004962603,0.004962603,0.004962603,0.004962603,0.004962603,0.003999384,0.003999384,0.003999384,0.003999384,0.003999384
Ningxia,0.006955043,0.006190501,0.006190501,0.006190501,0.006190501,0.005514368,0.005514368,0.005514368,0.005514368,0.005514368,0.005680351,0.005680351,0.005680351,0.005680351,0.005680351,0.005977863,0.005977863,0.005977863,0.005977863,0.005977863,0.005951784,0.005951784,0.005951784,0.005951784,0.005951784,0.005987036,0.005987036,0.005987036,0.005987036,0.005987036,0.005130449,0.005130449,0.005130449,0.005130449,0.005130449
Xinjiang,0.014971432,0.017624318,0.017624318,0.017624318,0.017624318,0.028284851,0.028284851,0.028284851,0.028284851,0.028284851,0.022674746,0.022674746,0.022674746,0.022674746,0.022674746,0.019785717,0.019785717,0.019785717,0.019785717,0.019785717,0.020697135,0.020697135,0.020697135,0.020697135,0.020697135,0.021971711,0.021971711,0.021971711,0.021971711,0.021971711,0.019877466,0.019877466,0.019877466,0.019877466,0.019877466
Tibet,0.004203183,0.003854113,0.003854113,0.003854113,0.003854113,0.003494446,0.003494446,0.003494446,0.003494446,0.003494446,0.003227386,0.003227386,0.003227386,0.003227386,0.003227386,0.003226316,0.003226316,0.003226316,0.003226316,0.003226316,0.003422782,0.003422782,0.003422782,0.003422782,0.003422782,0.003703091,0.003703091,0.003703091,0.003703091,0.003703091,0.002993398,0.002993398,0.002993398,0.002993398,0.002993398
